"","policy","value","state"
"1",1,-1.8372e-09,1
"2",11,-11314.9782200567,2
"3",16,-23700.7020295872,3
"4",14,-22516.4556678779,4
"5",19,-29963.8771958036,5
"6",20,-28560.6474795709,6
"7",21,-31117.2774504301,7
"8",21,-32569.6201297787,8
"9",21,-33601.9488848949,9
"10",21,-34821.7429488122,10
"11",21,-35821.379626348,11
"12",21,-36762.9972564415,12
"13",21,-37600.6562056161,13
"14",21,-38354.684831337,14
"15",21,-39043.9826248005,15
"16",21,-39742.6556219018,16
"17",21,-40574.9631134931,17
"18",21,-41535.0164737137,18
"19",21,-42423.5819367795,19
"20",21,-43018.2332528355,20
"21",21,-43031.4115317645,21
