"","policy","value","state"
"1",1,-2.77302e-05,1
"2",8,-1579.43621982764,2
"3",4,-3515.09789314486,3
"4",12,-3617.43556539927,4
"5",18,-5751.25301662698,5
"6",17,-6283.48612135303,6
"7",20,-7858.14869466846,7
"8",20,-9023.25939577312,8
"9",21,-10021.1967223486,9
"10",21,-11035.5494709865,10
"11",21,-11960.0624960956,11
"12",21,-12835.1514835664,12
"13",21,-13650.7472118524,13
"14",21,-14416.231101344,14
"15",21,-15137.572283333,15
"16",21,-15834.0707870113,16
"17",21,-16534.4721476184,17
"18",21,-17221.6128175316,18
"19",21,-17838.4515456173,19
"20",21,-18284.8544700314,20
"21",21,-18517.7119415162,21
