"","policy","value","state"
"1",1,-0.000188949,1
"2",10,-9550.07434174263,2
"3",16,-23781.5489063404,3
"4",13,-20872.9303448225,4
"5",20,-30660.9848516493,5
"6",19,-27862.9140231808,6
"7",21,-30953.7948564621,7
"8",21,-32379.9127681035,8
"9",21,-33318.1230355461,9
"10",21,-34567.967259247,10
"11",21,-35531.7296051556,11
"12",21,-36457.1957052069,12
"13",21,-37279.2515834788,13
"14",21,-38028.8750765408,14
"15",21,-38734.2304202322,15
"16",21,-39506.8248489141,16
"17",21,-40534.9671643703,17
"18",21,-41801.1050657946,18
"19",21,-42994.9403600674,19
"20",21,-43773.6580307739,20
"21",21,-43699.5048338913,21
