"","time","state","action","value"
"1",1,41,21,-4009
"2",2,32,21,-2749.376
"3",3,32,21,-2611.9072
"4",4,27,21,-1973.05994
"5",5,29,21,-2065.68559075
"6",6,22,20,-1246.64233731094
"7",7,22,21,-1269.85653921687
"8",8,20,19,-956.917630091343
"9",9,24,21,-1296.80118544936
"10",10,21,20,-944.507521648542
"11",11,22,21,-1034.30608779551
"12",12,26,21,-1242.82820162406
"13",13,23,21,-994.651620562369
"14",14,20,20,-760.724199922315
"15",15,21,20,-730.841915577011
"16",16,21,21,-748.215336708001
"17",17,24,21,-860.324401746979
"18",18,22,21,-722.294516684424
"19",19,21,21,-641.501124310022
"20",20,21,21,-609.426068094521
"21",21,17,17,-399.955573912762
"22",22,21,21,-550.007026455305
"23",23,22,21,-558.897728271183
"24",24,23,21,-565.757933558805
"25",25,17,17,-325.766314674282
"26",26,20,20,-411.064995357111
"27",27,18,17,-297.809329157624
"28",28,18,17,-282.918862699743
"29",29,21,20,-356.413315915772
"30",30,20,19,-309.594953111293
